supplier_id,name,country,region,industry,years_in_business,employee_count,avg_delivery_time_days,on_time_delivery_rate,quality_score,defect_rate,annual_revenue_millions,profit_margin,credit_score,debt_to_equity,production_capacity_units,utilization_rate,certifications,has_erp_system,unit_cost,min_order_quantity,geopolitical_risk_score,esg_score,compliance_score
SUP_0001,"Rodriguez, Figueroa and Sanchez",Mexico,Burundi,Construction Materials,21,5784,10.415865780908142,0.8331821786701015,0.7334834444556088,0.008000474078175099,328.9353517449379,0.061282315805420054,643,1.6816410175208014,786997,0.600272568044355,None,True,309.71004863925765,6496,0.4455560149136927,0.5038603981386294,0.8059264473611898
SUP_0002,"Garcia, Yang and Gardner",Brazil,Nauru,Automotive Parts,44,7784,14.379264098636158,0.9851369568839685,0.786705157299192,0.04313707993007971,343.35069390801203,0.1400998503939086,573,1.9028825207813331,249931,0.7971508762459387,ISO9001,True,123.137974554853,6335,0.45212199499168104,0.38542676439134516,0.7475884550556351
SUP_0003,Johnson-Davis,India,Iowa,Food & Beverage,40,7605,16.044317975023777,0.858545981009551,0.6739417822102108,0.04850964676046337,389.8150834469461,0.2378997883128378,569,1.4818167921271996,545822,0.6309723757181718,ISO9001,True,169.41186207399952,6963,0.6978560881099047,0.6777844926723557,0.7933755828319241
SUP_0004,"Guzman, Hoffman and Baldwin",Thailand,Reunion,Plastics,29,2112,5.201649380601122,0.7479274123282706,0.6062545626964776,0.021746672554612115,203.49194390602915,0.10869763494360762,362,1.6493767140641848,311648,0.8489696834620275,ISO45001,True,463.887430471541,6284,0.8319677404350246,0.8950270044528594,0.7247253370691017
SUP_0005,"Barnes, Cole and Ramirez",USA,Trinidad and Tobago,Machinery,24,9046,19.062629111970992,0.9572916953471347,0.7888859700647797,0.006860118050976784,359.48994573926757,0.20215700972337952,517,0.5483713475230159,907421,0.7728284587275367,ISO14001,True,22.455372104606642,1584,0.261375361868317,0.9270345169714636,0.7376851115910559
SUP_0006,Blake and Sons,Germany,Qatar,Machinery,39,6942,21.781200142854114,0.8565539164774851,0.6812244898939077,0.047199824957341076,303.4440785793826,0.1889569866079409,327,0.5150368307119838,35939,0.9123956494714922,ISO14001,False,449.08473696251167,7492,0.3177057995077083,0.7533830843789535,0.5002601884976579
SUP_0007,Peterson-Moore,Thailand,Serbia,Machinery,6,5625,8.450246563937629,0.9008064495381783,0.7077649335194086,0.012962150590140935,92.46261066473598,0.09375284391461405,771,1.435736021900838,457600,0.6227122864881435,ISO9001,True,351.1890936914963,7654,0.34070264785341575,0.49938834606422733,0.5184434736772664
SUP_0008,Garcia-James,USA,Guinea-Bissau,Textiles,28,904,29.718317082406422,0.7808074746286173,0.9633063543866615,0.012738532642681648,80.99848732469931,0.1478905520555126,715,1.2261237753708478,193734,0.8665668653650511,ISO9001,False,190.21373503243407,3031,0.8867385127158743,0.5791771097111871,0.908215936609692
SUP_0009,Munoz-Roman,USA,Saint Lucia,Chemicals,16,709,9.516238507114052,0.9062333644070252,0.9238004184558861,0.01808463337729474,57.12651003479617,0.23810465289792082,637,1.6916492012239233,667162,0.7193732228675904,ISO9001,False,439.8962831566807,362,0.6279872368273433,0.872055540140851,0.7776004057997312
SUP_0010,Herrera-Dudley,UK,Missouri,Textiles,1,5473,11.588492180398639,0.9799716118737501,0.8233173814428391,0.04424918081627765,102.46648308727589,0.10577427051843638,507,1.8045094939098965,540583,0.7415778444927665,ISO45001,False,468.4611471682643,5639,0.8188433508216634,0.7245003417617129,0.5045985258083148
SUP_0011,Arnold Ltd,Thailand,Niger,Plastics,29,3011,15.874165059957356,0.9006496073308811,0.8607845038010402,0.011989196163567431,358.96781846029256,0.09744981749936002,576,0.4397631475205247,68871,0.827371514666525,ISO45001,True,288.4712156343811,4655,0.507051261471008,0.7454328327301267,0.6252309093027921
SUP_0012,Ray-Bush,South Korea,Aruba,Automotive Parts,8,3404,8.915725538203805,0.8259743659980243,0.7400313630778703,0.03261006473949768,337.77278923491883,0.22283351301438065,815,0.1462003362197623,906048,0.6152613201140518,None,True,146.9845674804117,1160,0.8426548500701804,0.5997289038221201,0.9833274095218347
SUP_0013,"Perez, Roberts and Miller",India,Djibouti,Electronics Manufacturing,21,3025,12.767425239664895,0.7491528965389668,0.82272050498334,0.04687158393387827,351.05460037073675,0.16401223401787302,587,1.3751726819656962,28070,0.6490294053327834,ISO14001,False,372.97662269956015,8196,0.20929706515362306,0.796237697837083,0.7764099884539539
SUP_0014,James Group,Brazil,North Macedonia,Metals,35,1891,19.28199397161736,0.9514509723882301,0.9652962210225885,0.026055777544185955,255.74298439672782,0.20965903579335504,620,0.23478774229986255,247549,0.8785274343026352,ISO45001,True,194.03564679357257,6019,0.5626241127969392,0.32515959165771946,0.7327990090662301
SUP_0015,Martin-Kelly,South Korea,Paraguay,Metals,22,9957,5.042311067342931,0.9400820110984007,0.7086171663278967,0.04829733968914772,234.059929190727,0.21840461500239627,649,1.1272067310592024,967238,0.6484235823462304,ISO9001,False,360.15160104817653,9974,0.736148955814963,0.48958257588345194,0.719485710352818
SUP_0016,Miles-Sutton,Mexico,Barbados,Pharmaceuticals,26,8358,17.13012933417001,0.7234531603189873,0.7713257899760431,0.03473649513750295,38.514861799137364,0.23304274552529608,395,1.1435306629416289,30056,0.8310690818512059,ISO9001,False,371.56948918092655,9762,0.4485383189423129,0.811027521593273,0.5238580638458243
SUP_0017,"Reid, Ferguson and Sanchez",Brazil,Kyrgyz Republic,Pharmaceuticals,22,2794,11.599978329410288,0.7273055265978824,0.7245653237565177,0.04899601590245392,95.91183224577588,0.05343222036635005,773,1.0340701627219815,366902,0.7212065123812903,ISO14001,True,33.548872856546524,2949,0.3087148986733712,0.3107131782032693,0.9667181540397415
SUP_0018,Nelson-Schaefer,USA,Portugal,Pharmaceuticals,45,4661,13.682970775663634,0.878596837673075,0.9775566418243029,0.047268328259133206,434.92747744195185,0.17728071948920227,679,0.3441506711444293,735948,0.7909658762605771,None,True,480.98337627371797,4013,0.2653474879013963,0.4917727891247936,0.607294559854187
